data,consumo_regiao_norte
2004-01-01,348585
2004-02-01,323403
2004-03-01,320237
2004-04-01,339775
2004-05-01,332155
2004-06-01,332089
2004-07-01,328423
2004-08-01,338836
2004-09-01,351459
2004-10-01,353207
2004-11-01,362279
2004-12-01,355894
2005-01-01,355960
2005-02-01,336135
2005-03-01,341725
2005-04-01,350369
2005-05-01,338681
2005-06-01,352716
2005-07-01,356661
2005-08-01,360833
2005-09-01,381555
2005-10-01,372756
2005-11-01,384562
2005-12-01,360953
2006-01-01,352086
2006-02-01,343002
2006-03-01,344413
2006-04-01,348152
2006-05-01,345138
2006-06-01,355133
2006-07-01,369332
2006-08-01,372153
2006-09-01,397912
2006-10-01,397549
2006-11-01,402093
2006-12-01,380071
2007-01-01,377018
2007-02-01,364503
2007-03-01,352883
2007-04-01,371967
2007-05-01,371605
2007-06-01,381288
2007-07-01,374013
2007-08-01,392888
2007-09-01,408304
2007-10-01,409738
2007-11-01,422501
2007-12-01,405279
2008-01-01,396323
2008-02-01,380864
2008-03-01,374421
2008-04-01,386480
2008-05-01,399647
2008-06-01,399430
2008-07-01,405359
2008-08-01,434435
2008-09-01,455038
2008-10-01,453242
2008-11-01,452781
2008-12-01,431406
2009-01-01,437714
2009-02-01,400108
2009-03-01,393057
2009-04-01,413043
2009-05-01,406935
2009-06-01,411397
2009-07-01,429684
2009-08-01,453741
2009-09-01,475717
2009-10-01,472878
2009-11-01,484073
2009-12-01,478521
2010-01-01,460383
2010-02-01,442546
2010-03-01,466995
2010-04-01,487028
2010-05-01,479188
2010-06-01,497484
2010-07-01,490071
2010-08-01,492103
2010-09-01,529944
2010-10-01,541500
2010-11-01,525898
2010-12-01,509429
2011-01-01,496172
2011-02-01,452353
2011-03-01,477637
2011-04-01,471596
2011-05-01,487643
2011-06-01,520799
2011-07-01,513870
2011-08-01,541456
2011-09-01,567602
2011-10-01,567178
2011-11-01,548988
2011-12-01,548931
2012-01-01,524135
2012-02-01,503434
2012-03-01,503494
2012-04-01,532486
2012-05-01,552161
2012-06-01,566437
2012-07-01,551450
2012-08-01,592424
2012-09-01,604096
2012-10-01,608315
2012-11-01,628098
2012-12-01,597632
2013-01-01,577517
2013-02-01,560166
2013-03-01,543558
2013-04-01,591995
2013-05-01,595852
2013-06-01,616782
2013-07-01,623393
2013-08-01,629182
2013-09-01,640168
2013-10-01,687065
2013-11-01,675367
2013-12-01,683978
2014-01-01,651827
2014-02-01,640104
2014-03-01,665706
2014-04-01,649978
2014-05-01,705888
2014-06-01,693230
2014-07-01,712711
2014-08-01,735422
2014-09-01,755837
2014-10-01,756891
2014-11-01,745283
2014-12-01,761455
2015-01-01,726570
2015-02-01,677514
2015-03-01,680311
2015-04-01,675513
2015-05-01,679533
2015-06-01,695205
2015-07-01,746477
2015-08-01,763948
2015-09-01,820516
2015-10-01,884653
2015-11-01,872136
2015-12-01,851295
2016-01-01,759843
2016-02-01,740736
2016-03-01,751194
2016-04-01,747941
2016-05-01,754695
2016-06-01,783331
2016-07-01,796979
2016-08-01,822097
2016-09-01,830479
2016-10-01,828560
2016-11-01,834314
2016-12-01,826045
2017-01-01,746531
2017-02-01,678124
2017-03-01,725088
2017-04-01,725326
2017-05-01,791781
2017-06-01,806273
2017-07-01,767490
2017-08-01,847732
2017-09-01,865723
2017-10-01,867252
2017-11-01,851687
2017-12-01,823516
2018-01-01,749421
2018-02-01,721929
2018-03-01,749309
2018-04-01,761093
2018-05-01,784448
2018-06-01,776976
2018-07-01,782046
2018-08-01,797189
2018-09-01,804933
2018-10-01,861574
2018-11-01,841537
2018-12-01,738718
2019-01-01,726874
2019-02-01,713769
2019-03-01,731745
2019-04-01,751878
2019-05-01,777287
2019-06-01,782406
2019-07-01,807441
2019-08-01,817871
2019-09-01,855773
2019-10-01,826928
2019-11-01,837489
2019-12-01,837765
2020-01-01,799554
2020-02-01,795849
2020-03-01,809203
2020-04-01,825130
2020-05-01,821868
2020-06-01,829362
2020-07-01,873226
2020-08-01,896084
2020-09-01,941910
2020-10-01,961023
2020-11-01,926031
2020-12-01,856868
2021-01-01,829320
2021-02-01,798266
2021-03-01,811549
2021-04-01,863586
2021-05-01,857418
2021-06-01,890071
2021-07-01,852598
2021-08-01,908326
2021-09-01,973482
2021-10-01,961855
2021-11-01,943441
2021-12-01,931826
2022-01-01,878646
2022-02-01,829751
2022-03-01,886754
2022-04-01,860992
2022-05-01,899520
2022-06-01,899714
2022-07-01,923014
2022-08-01,995812
2022-09-01,1032571
2022-10-01,1044150
2022-11-01,982073
2022-12-01,989692
2023-01-01,908626
2023-02-01,864397
2023-03-01,948603
2023-04-01,936381
2023-05-01,999291
2023-06-01,1044363
2023-07-01,1036735
2023-08-01,1123220
2023-09-01,1186719
2023-10-01,1222328
2023-11-01,1235789
2023-12-01,1171554
